City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Portland,US,45.5234,-122.6762,72.14,45,20,12.66,few clouds
122,Fortuna,US,40.5982,-124.1573,64.85,70,0,12.66,clear sky
123,Rawson,AR,-43.3002,-65.1023,60.21,42,88,10.65,overcast clouds
124,Tortosa,ES,40.8125,0.5216,72.25,66,100,2.91,overcast clouds
125,Gao,ML,16.6362,1.637,86.5,37,78,13.0,broken clouds
126,Nantucket,US,41.2835,-70.0995,73.45,82,0,9.22,clear sky
127,Souillac,MU,-20.5167,57.5167,73.78,73,20,8.05,few clouds
128,Shagonar,RU,51.5333,92.8,55.0,56,0,0.74,clear sky
129,Verkhnevilyuysk,RU,63.4453,120.3167,46.53,86,50,2.59,scattered clouds
130,Champerico,GT,14.3,-91.9167,91.94,67,26,8.61,scattered clouds
131,Kaitangata,NZ,-46.2817,169.8464,47.43,91,100,14.25,overcast clouds
132,Byron Bay,AU,-28.65,153.6167,59.7,85,100,11.54,light rain
133,Port Blair,IN,11.6667,92.75,83.34,81,100,19.84,overcast clouds
134,Faanui,PF,-16.4833,-151.75,80.38,71,16,9.48,light rain
135,Saint-Francois,FR,46.4154,3.9054,71.04,68,0,5.75,clear sky
136,Thompson,CA,55.7435,-97.8558,50.16,25,0,12.66,clear sky
137,Montepuez,MZ,-13.1256,38.9997,63.88,98,6,3.87,clear sky
138,Cherskiy,RU,68.75,161.3,53.56,49,29,16.44,scattered clouds
139,Palembang,ID,-2.9167,104.7458,77.09,94,40,2.3,haze
140,Ondo,NG,7.1,4.8333,72.07,99,100,2.84,overcast clouds
141,Otse,BW,-25.0167,25.7333,41.34,79,99,2.71,light rain
142,Jishou,CN,28.3167,109.7167,64.62,91,100,1.25,overcast clouds
143,Narsaq,GL,60.9167,-46.05,41.92,69,3,7.87,clear sky
144,Sisimiut,GL,66.9395,-53.6735,38.53,67,100,2.37,overcast clouds
145,Sorsk,RU,54.0033,90.2467,53.89,62,6,2.24,clear sky
146,Melfort,CA,52.8667,-104.6177,53.73,28,100,10.36,overcast clouds
147,Bukama,CD,-9.2,25.85,72.55,70,94,0.98,overcast clouds
148,Slave Lake,CA,55.2834,-114.769,53.58,35,0,5.75,clear sky
149,Chicama,PE,-7.8447,-79.1469,64.94,64,22,8.32,few clouds
150,Te Anau,NZ,-45.4167,167.7167,44.56,91,92,5.1,overcast clouds
151,Cambridge,CA,43.3601,-80.3127,76.39,74,100,6.91,overcast clouds
152,Mildura,AU,-34.2,142.15,51.08,84,57,10.76,broken clouds
153,Nemuro,JP,43.3236,145.575,49.26,98,100,9.51,overcast clouds
154,Posse,BR,-14.0931,-46.3694,68.95,39,2,3.22,clear sky
155,Makakilo City,US,21.3469,-158.0858,82.18,72,20,11.5,few clouds
156,Alexandria,EG,31.2156,29.9553,67.96,56,0,13.8,clear sky
157,Svetlogorsk,BY,52.6333,29.7333,48.06,90,28,12.62,scattered clouds
158,Caravelas,BR,-17.7125,-39.2481,71.92,68,1,7.87,clear sky
159,Linjiang,CN,41.8069,126.9078,53.38,95,99,2.84,overcast clouds
160,Lovozero,RU,68.005,35.0117,33.42,75,98,10.87,overcast clouds
161,Wahpeton,US,46.2652,-96.6059,48.92,46,100,11.5,overcast clouds
162,Aklavik,CA,68.2191,-135.0107,35.6,80,100,8.05,light snow
163,Florianopolis,BR,-27.6146,-48.5012,61.83,75,20,6.91,few clouds
164,Tshane,BW,-24.0196,21.8684,45.37,63,5,7.09,clear sky
165,Saskylakh,RU,71.9167,114.0833,28.2,97,88,5.99,overcast clouds
166,Namibe,AO,-15.1961,12.1522,67.75,71,2,1.77,clear sky
167,Ust-Kuyga,RU,70.0167,135.6,30.25,92,35,2.86,scattered clouds
168,Cortez,US,37.3489,-108.5859,65.16,19,40,17.27,scattered clouds
169,Katherine,AU,-14.4667,132.2667,66.52,59,36,5.75,scattered clouds
170,Chuy,UY,-33.6971,-53.4616,55.8,75,100,5.57,overcast clouds
