City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
545,Beloha,MG,68.18,clear sky,-25.1667,45.05,
546,Vao,NC,74.01,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
550,Gondanglegi,ID,73.74,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
551,Diego De Almagro,CL,71.8,clear sky,-26.3667,-70.05,hotel luna del desierto
556,Kirkland Lake,CA,61.09,overcast clouds,48.1446,-80.0377,Comfort Inn
563,Wattegama,LK,76.48,broken clouds,6.7989,81.4808,
564,Januaria,BR,71.02,clear sky,-15.4833,-44.3667,Hotel Paraguassu
566,Saint-Pierre,RE,71.28,few clouds,-21.3393,55.4781,Alize Plage
567,Dong Xoai,VN,75.61,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
575,College,US,73.99,clear sky,64.8569,-147.8028,Pike's Waterfront Lodge
580,Belmonte,BR,73.69,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
581,Sinnamary,GF,76.96,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
583,Ganzhou,CN,64.47,broken clouds,28.8184,115.4327,Zhanqian Grand Hotel
584,Malpe,IN,76.3,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
588,Jiaozuo,CN,70.18,overcast clouds,35.2397,113.2331,Days Hotel and Suites Jiaozuo
590,Pokhara,NP,65.98,broken clouds,28.2333,83.9833,OYO 170 Hotel View Point
591,Sumbe,AO,71.69,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
593,Challans,FR,72.52,broken clouds,46.8436,-1.8749,Citotel Le Challans
597,Hirara,JP,75.06,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
599,Hermiston,US,70.65,clear sky,45.8404,-119.2895,Oxford Suites Hermiston
603,Cururupu,BR,74.93,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
604,Karema,TZ,71.83,overcast clouds,-6.8205,30.4389,
605,Normandin,CA,69.93,overcast clouds,48.8333,-72.5321,Chambres MB Normandin (Lac St -Jean)
607,Changping,CN,60.44,few clouds,40.2186,116.2197,Huachang Hotel
608,Katsuura,JP,61.86,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
609,Marawi,PH,69.89,overcast clouds,7.9986,124.2928,Derogongan Residence
615,Kenai,US,64.02,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
616,Ahipara,NZ,61.18,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
617,Yumen,CN,62.42,clear sky,40.2833,97.2,
618,Erzin,TR,70.34,clear sky,36.9559,36.2,Artemis Otel
619,Sayyan,YE,64.62,few clouds,15.1718,44.3244,ملاطف ابوحورية
622,Capreol,CA,68.47,broken clouds,46.706,-80.9225,
623,Puyo,EC,70.84,light intensity drizzle,-1.4667,-77.9833,Hosteria Kindi Wasi
625,Kiunga,PG,71.85,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
627,Valparaiso,CL,71.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
628,Makungu,TZ,62.15,overcast clouds,-8.7333,35.2833,Complex
629,Abu Samrah,SY,76.03,overcast clouds,35.3029,37.1841,
630,Zholymbet,KZ,60.94,overcast clouds,51.7433,71.7122,
632,Fort Nelson,CA,63.99,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
636,Aki,JP,60.04,clear sky,33.5,133.9,Seigetsu Ryokan
640,Gushikawa,JP,70.83,mist,26.3544,127.8686,Kirari Guest House
641,Corinto,GR,71.89,clear sky,37.9407,22.9573,Ephira Hotel
643,San Quintin,MX,65.05,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
649,Loikaw,MM,66.11,broken clouds,19.6742,97.2094,Myat Nan Taw Hotel
653,Kanalion,GR,67.78,clear sky,39.6056,19.8925,Argo Hotel
654,Kiama,AU,64.0,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
655,Sao Jose Da Laje,BR,71.33,overcast clouds,-9.0097,-36.0583,Pousada Gente Nossa
657,San Jeronimo,PE,60.67,broken clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
660,Kununurra,AU,75.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
663,Benguela,AO,70.16,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
667,Yokadouma,CM,70.52,broken clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
668,Chokwe,MZ,64.74,light rain,-24.5333,32.9833,Complexo Sonho Real
672,Fuerte Olimpo,PY,72.91,broken clouds,-21.0415,-57.8738,Hospedaje DAMI
673,Hirado,JP,61.39,clear sky,33.3597,129.5531,Samson Hotel
675,Luanda,AO,73.4,few clouds,-8.8368,13.2343,EPIC SANA Luanda
677,Bereda,ES,64.0,overcast clouds,43.2686,-7.5406,Pazo de Verdes
679,Port Hawkesbury,CA,63.91,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
680,Neuquen,AR,66.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
681,Shakhtinsk,KZ,60.35,scattered clouds,49.71,72.5872,Orifleym
682,Shimoda,JP,61.72,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
684,Makueni,KE,63.45,overcast clouds,-1.8041,37.6203,WOTE TECHNICAL HOSTELS
