City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Deputatskiy,RU,2022-05-10 02:48:37,69.3,139.9,15.15,76,99,10.85
274,Juneau,US,2022-05-10 02:45:27,58.3019,-134.4197,57.2,65,75,14.97
275,Avila,ES,2022-05-10 02:44:48,40.5833,-5.0,55.81,54,45,3.62
276,Zhuhai,CN,2022-05-10 02:49:38,22.2769,113.5678,82.85,89,40,9.22
277,Brumunddal,NO,2022-05-10 02:49:38,60.881,10.9395,49.26,70,100,10.07
278,Beihai,CN,2022-05-10 02:49:39,21.4833,109.1,78.22,88,98,3.62
279,Lavrentiya,RU,2022-05-10 02:49:39,65.5833,-171.0,31.55,83,16,5.3
280,Padang,ID,2022-05-10 02:49:39,-0.9492,100.3543,87.85,64,54,3.13
281,Almaznyy,RU,2022-05-10 02:49:40,48.0448,40.045,39.9,84,0,11.65
282,Castro,BR,2022-05-10 02:49:40,-24.7911,-50.0119,53.15,98,5,4.9
283,Alice Springs,AU,2022-05-10 02:49:41,-23.7,133.8833,69.22,32,75,11.5
284,Forio,IT,2022-05-10 02:49:41,40.7342,13.8646,63.82,78,7,4.0
285,Jasper,US,2022-05-10 02:45:27,37.2001,-94.3502,82.45,70,100,13.8
286,Batemans Bay,AU,2022-05-10 02:49:42,-35.7167,150.1833,62.1,74,84,5.55
287,Saint-Augustin,CA,2022-05-10 02:49:43,51.226,-58.6502,40.75,75,19,5.44
288,Salta,AR,2022-05-10 02:49:43,-24.7859,-65.4117,58.57,83,40,5.75
289,Kawardha,IN,2022-05-10 02:49:44,22.0167,81.25,86.85,53,3,8.72
290,Arroio Grande,BR,2022-05-10 02:49:44,-32.2375,-53.0869,57.09,93,100,4.23
291,Kuvandyk,RU,2022-05-10 02:49:44,51.4781,57.3552,53.53,93,100,15.28
292,Padre Bernardo,BR,2022-05-10 02:49:45,-15.35,-48.5,68.54,57,45,2.08
293,Chara,RU,2022-05-10 02:49:45,56.9064,118.2631,31.84,58,100,9.19
294,Oktyabrskoye,RU,2022-05-10 02:49:46,43.0645,44.7417,39.34,93,34,6.71
295,Shetpe,KZ,2022-05-10 02:49:46,44.1667,52.1167,51.69,81,100,18.25
